priorityIndex,batch,term,canonicalTerm,valueTier,recommendedTier,learningPriority,contentCategory,frequency,score,sourceStatus,sourceGlobalIndex,wordList,unit,unitIndex,sourceOccurrences,audioFile,start,end
143,1,intake,intake,receptive,active,high,work-money,3.98,3.98,ready,1276,3,3,90,1,ysgpc/Word List3/Word List3-Unit3.mp3,241.0,241.54
144,1,junction,junction,receptive,active,high,work-money,3.94,3.94,ready,2504,6,1,31,1,ysgpc/Word List6/Word List6-Unit1.mp3,86.68,87.25
145,1,mandate,mandate,receptive,active,high,work-money,3.97,3.97,ready,1282,3,3,96,1,ysgpc/Word List3/Word List3-Unit3.mp3,256.96,257.59
146,1,probation,probation,receptive,active,high,work-money,3.79,3.79,ready,1707,4,3,26,1,ysgpc/Word List4/Word List4-Unit3.mp3,72.92,73.49
147,1,reimburse,reimburse,receptive,active,high,work-money,3.06,3.06,ready,1319,3,4,34,1,ysgpc/Word List3/Word List3-Unit4.mp3,96.55,97.29
148,1,statutory,statutory,receptive,active,high,work-money,3.76,3.76,ready,682,2,2,88,1,ysgpc/Word List2/Word List2-Unit2.mp3,238.06,238.84
149,1,subsidy,subsidy,receptive,active,high,work-money,3.56,3.56,ready,1907,4,5,29,1,ysgpc/Word List4/Word List4-Unit5.mp3,82.89,83.54
150,1,taxation,taxation,receptive,active,high,work-money,3.81,3.81,ready,3119,7,2,51,1,ysgpc/Word List7/Word List7-Unit2.mp3,140.33,141.07
151,1,ownership,ownership,active,active,high,work-money,4.4,4.4,ready,468,1,5,72,1,ysgpc/Word List1/Word List1-Unit5.mp3,197.48,198.08
152,1,fraud,fraud,active,active,high,work-money,4.37,4.37,ready,1657,4,2,74,1,ysgpc/Word List4/Word List4-Unit2.mp3,204.08,204.47
153,1,disposal,disposal,active,active,high,work-money,4.0,4.0,ready,1496,4,1,13,1,ysgpc/Word List4/Word List4-Unit1.mp3,39.13,39.84
154,1,acute,acute,active,active,high,health-safety,4.0,4.0,ready,1416,3,5,32,1,ysgpc/Word List3/Word List3-Unit5.mp3,88.94,89.5
155,1,adjust,adjust,active,active,high,health-safety,4.07,4.07,ready,516,2,1,21,1,ysgpc/Word List2/Word List2-Unit1.mp3,61.4,62.02
156,1,allergic,allergic,receptive,active,high,health-safety,3.78,3.78,ready,267,1,3,67,1,ysgpc/Word List1/Word List1-Unit3.mp3,183.98,184.67
157,1,appetite,appetite,receptive,active,high,health-safety,3.87,3.87,ready,2447,5,5,74,1,ysgpc/Word List5/Word List5-Unit5.mp3,202.19,202.85
158,1,asthma,asthma,receptive,active,high,health-safety,3.73,3.73,ready,2947,6,5,77,1,ysgpc/Word List6/Word List6-Unit5.mp3,206.94,207.4
159,1,bacterial,bacterial,receptive,active,high,health-safety,3.73,3.73,ready,2401,5,5,28,1,ysgpc/Word List5/Word List5-Unit5.mp3,79.66,80.37
160,1,casualty,casualty,receptive,active,high,health-safety,3.61,3.61,ready,744,2,3,51,1,ysgpc/Word List2/Word List2-Unit3.mp3,141.39,142.04
161,1,chronic,chronic,active,active,high,health-safety,4.2,4.2,ready,1006,3,1,18,1,ysgpc/Word List3/Word List3-Unit1.mp3,51.72,52.17
162,1,diabetes,diabetes,active,active,high,health-safety,4.17,4.17,ready,1087,3,1,99,1,ysgpc/Word List3/Word List3-Unit1.mp3,264.58,265.4
163,1,diagnose,diagnose,receptive,active,high,health-safety,3.41,3.41,ready,3276,7,4,13,1,ysgpc/Word List7/Word List7-Unit4.mp3,38.53,39.31
164,1,discharge,discharge,receptive,active,high,health-safety,3.93,3.93,ready,2143,5,2,66,1,ysgpc/Word List5/Word List5-Unit2.mp3,177.05,177.73
165,1,dose,dose,active,active,high,health-safety,4.2,4.2,ready,3165,7,2,97,1,ysgpc/Word List7/Word List7-Unit2.mp3,262.43,262.86
166,1,fatigue,fatigue,receptive,active,high,health-safety,3.86,3.86,ready,320,1,4,21,1,ysgpc/Word List1/Word List1-Unit4.mp3,60.62,61.22
167,1,infection,infection,active,active,high,health-safety,4.33,4.33,ready,1307,3,4,22,1,ysgpc/Word List3/Word List3-Unit4.mp3,64.44,65.14
168,1,injection,injection,receptive,active,high,health-safety,3.99,3.99,ready,2127,5,2,50,1,ysgpc/Word List5/Word List5-Unit2.mp3,134.99,135.69
169,1,medication,medication,active,active,high,health-safety,4.15,4.15,ready,2232,5,3,56,1,ysgpc/Word List5/Word List5-Unit3.mp3,152.76,153.48
170,1,patient,patient,active,active,high,health-safety,4.77,4.77,ready,2219,5,3,43,1,ysgpc/Word List5/Word List5-Unit3.mp3,119.39,119.92
171,1,precautions,precautions,receptive,active,high,health-safety,3.59,3.59,ready,225,1,3,25,1,ysgpc/Word List1/Word List1-Unit3.mp3,71.4,72.09
172,1,prescription,prescription,active,active,high,health-safety,4.0,4.0,ready,3269,7,4,6,1,ysgpc/Word List7/Word List7-Unit4.mp3,20.34,21.03
